编码,名称,别名,药品类型,剂型,制剂规格,制剂单位,含量数值,含量单位,储藏方式,处方药,基本药物,抗菌药,抗菌药等级,抗菌药门诊可用,抗菌药需会诊审批,抗菌药允许紧急使用,抗菌药门诊疗程上限,需要皮试,皮试方式,皮试液配置方式,皮试观察分钟,皮试结果有效小时,皮试配置说明,默认剂量,默认剂量单位,默认给药途径,默认频次,慢病用药,允许单开,状态
MED-2026-W174-01,依那普利片,Enalapril,WESTERN,TABLET,2.5mg,片,2.5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W174-02,依那普利片,Enalapril,WESTERN,TABLET,5mg,片,5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W174-03,依那普利片,Enalapril,WESTERN,TABLET,10mg,片,10,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W175-01,赖诺普利片,Lisinopril,WESTERN,TABLET,5mg,片,5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W175-02,赖诺普利片,Lisinopril,WESTERN,TABLET,10mg,片,10,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W175-03,赖诺普利胶囊,Lisinopril,WESTERN,CAPSULE,5mg,粒,5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W175-04,赖诺普利胶囊,Lisinopril,WESTERN,CAPSULE,10mg,粒,10,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W176-01,培哚普利叔丁胺片,Perindopril tert-Butylamine,WESTERN,TABLET,2mg,片,2,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W176-02,培哚普利叔丁胺片,Perindopril tert-Butylamine,WESTERN,TABLET,4mg,片,4,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W176-03,培哚普利叔丁胺片,Perindopril tert-Butylamine,WESTERN,TABLET,8mg,片,8,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W177-01,缬沙坦片,Valsartan,WESTERN,TABLET,80mg,片,80,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W177-02,缬沙坦胶囊,Valsartan,WESTERN,CAPSULE,80mg,粒,80,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W178-01,替米沙坦片,Telmisartan,WESTERN,TABLET,20mg,片,20,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W178-02,替米沙坦片,Telmisartan,WESTERN,TABLET,40mg,片,40,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W178-03,替米沙坦片,Telmisartan,WESTERN,TABLET,80mg,片,80,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W178-04,替米沙坦胶囊,Telmisartan,WESTERN,CAPSULE,40mg,粒,40,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W179-01,厄贝沙坦片,Irbesartan,WESTERN,TABLET,0.075g,片,0.075,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W179-02,厄贝沙坦片,Irbesartan,WESTERN,TABLET,0.15g,片,0.15,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W179-03,厄贝沙坦分散片,Irbesartan,WESTERN,TABLET,0.15g,片,0.15,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W180-01,缬沙坦氨氯地平片剂(Ⅰ),Valsartan and Amlodipine,WESTERN,TABLET,每片 含缬沙坦 80mg,片,80,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W180-02,缬沙坦氨氯地平片剂(Ⅰ),Valsartan and Amlodipine,WESTERN,TABLET,氨氯地平 5mg,片,5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W180-03,缬沙坦氨氯地平片剂(Ⅱ),Valsartan and Amlodipine,WESTERN,TABLET,每片 含缬沙坦 160mg,片,160,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W180-04,缬沙坦氨氯地平片剂(Ⅱ),Valsartan and Amlodipine,WESTERN,TABLET,氨氯地平 5mg,片,5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W181,硝普钠注射用无菌粉末,Sodium Nitroprusside,WESTERN,INJECTION,50mg,支,50,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,QD,是,是,ACTIVE
MED-2026-W182-01,硫酸镁注射液,Magnesium Sulfate,WESTERN,INJECTION,2ml ∶1g,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,QD,是,是,ACTIVE
MED-2026-W182-02,硫酸镁注射液,Magnesium Sulfate,WESTERN,INJECTION,10ml ∶1g,支,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,QD,是,是,ACTIVE
MED-2026-W182-03,硫酸镁注射液,Magnesium Sulfate,WESTERN,INJECTION,10ml ∶2.5g,支,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,QD,是,是,ACTIVE
MED-2026-W182-04,硫酸镁注射液,Magnesium Sulfate,WESTERN,INJECTION,10ml ∶5g,支,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,QD,是,是,ACTIVE
MED-2026-W182-05,硫酸镁注射液,Magnesium Sulfate,WESTERN,INJECTION,20ml ∶10g,支,20,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,QD,是,是,ACTIVE
MED-2026-W183,尼群地平片,Nitrendipine,WESTERN,TABLET,10mg,片,10,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W184-01,非洛地平片,Felodipine,WESTERN,TABLET,2.5mg,片,2.5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W184-02,非洛地平片,Felodipine,WESTERN,TABLET,5mg,片,5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W184-03,非洛地平缓释片,Felodipine,WESTERN,TABLET,2.5mg,片,2.5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W184-04,非洛地平缓释片,Felodipine,WESTERN,TABLET,5mg,片,5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W185,氨氯地平片,Amlodipine,WESTERN,TABLET,5mg,片,5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W186-01,左氨氯地平片,Levamlodipine,WESTERN,TABLET,2.5mg,片,2.5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W186-02,左氨氯地平片,Levamlodipine,WESTERN,TABLET,5mg,片,5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W186-03,左氨氯地平片,Levamlodipine,WESTERN,TABLET,2.5mg,片,2.5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W187-01,比索洛尔片,Bisoprolol,WESTERN,TABLET,2.5mg,片,2.5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W187-02,比索洛尔片,Bisoprolol,WESTERN,TABLET,5mg,片,5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W188-01,拉贝洛尔片,Labetalol,WESTERN,TABLET,50mg,片,50,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W188-02,拉贝洛尔片,Labetalol,WESTERN,TABLET,100mg,片,100,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W189-01,乌拉地尔缓释（片剂、胶囊）,Urapidil,WESTERN,CAPSULE,30mg,粒,30,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W189-02,乌拉地尔注射液,Urapidil,WESTERN,INJECTION,5ml ∶25mg,支,5,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,QD,是,是,ACTIVE
MED-2026-W189-03,乌拉地尔注射液,Urapidil,WESTERN,INJECTION,10ml ∶50mg,支,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,QD,是,是,ACTIVE
MED-2026-W190-01,吲达帕胺片,Indapamide,WESTERN,TABLET,2.5mg,片,2.5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W190-02,吲达帕胺缓释片,Indapamide,WESTERN,TABLET,1.5mg,片,1.5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W191-01,酚妥拉明注射液,Phentolamine,WESTERN,INJECTION,1ml ∶10mg,支,1,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,QD,是,是,ACTIVE
MED-2026-W191-02,酚妥拉明注射用无菌粉末,Phentolamine,WESTERN,INJECTION,10mg,支,10,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,QD,是,是,ACTIVE
MED-2026-W192-01,哌唑嗪片,Prazosin,WESTERN,TABLET,1mg,片,1,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W192-02,哌唑嗪片,Prazosin,WESTERN,TABLET,2mg,片,2,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W193-01,波生坦片,Bosentan,WESTERN,TABLET,125mg,片,125,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W193-02,波生坦分散片,Bosentan,WESTERN,TABLET,32mg,片,32,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W194,肾上腺素注射液,Epinephrine,WESTERN,INJECTION,1ml ∶1mg,支,1,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,QD,是,是,ACTIVE
MED-2026-W195-01,去甲肾上腺素注射液,Norepinephrine,WESTERN,INJECTION,1ml ∶2mg,支,1,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,QD,是,是,ACTIVE
MED-2026-W195-02,去甲肾上腺素注射液,Norepinephrine,WESTERN,INJECTION,2ml ∶10mg,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,QD,是,是,ACTIVE
MED-2026-W195-03,去甲肾上腺素注射液,Norepinephrine,WESTERN,INJECTION,4ml ∶8mg,支,4,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,QD,是,是,ACTIVE
MED-2026-W196,异丙肾上腺素注射液,Isoprenaline,WESTERN,INJECTION,2ml ∶1mg,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,QD,是,是,ACTIVE
MED-2026-W197-01,间羟胺注射液,Metaraminol,WESTERN,INJECTION,1ml ∶10mg,支,1,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,QD,是,是,ACTIVE
MED-2026-W197-02,间羟胺注射液,Metaraminol,WESTERN,INJECTION,5ml ∶50mg,支,5,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,QD,是,是,ACTIVE
MED-2026-W198-01,多巴胺注射液,Dopamine,WESTERN,INJECTION,2ml ∶20mg,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,QD,是,是,ACTIVE
MED-2026-W198-02,多巴胺注射液,Dopamine,WESTERN,INJECTION,2.5ml ∶50mg,支,2.5,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,QD,是,是,ACTIVE
MED-2026-W198-03,多巴胺注射液,Dopamine,WESTERN,INJECTION,5ml ∶100mg,支,5,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,QD,是,是,ACTIVE
MED-2026-W198-04,多巴胺注射液,Dopamine,WESTERN,INJECTION,5ml ∶200mg,支,5,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,QD,是,是,ACTIVE
MED-2026-W199-01,多巴酚丁胺注射液,Dobutamine,WESTERN,INJECTION,2ml ∶20mg,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,QD,是,是,ACTIVE
MED-2026-W199-02,多巴酚丁胺注射液,Dobutamine,WESTERN,INJECTION,5ml ∶100mg,支,5,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,QD,是,是,ACTIVE
MED-2026-W200-01,辛伐他汀片,Simvastatin,WESTERN,TABLET,10mg,片,10,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W200-02,辛伐他汀片,Simvastatin,WESTERN,TABLET,20mg,片,20,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W201-01,阿托伐他汀片,Atorvastatin,WESTERN,TABLET,10mg,片,10,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W201-02,阿托伐他汀片,Atorvastatin,WESTERN,TABLET,20mg,片,20,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W202-01,瑞舒伐他汀片,Rosuvastatin,WESTERN,TABLET,5mg,片,5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W202-02,瑞舒伐他汀片,Rosuvastatin,WESTERN,TABLET,10mg,片,10,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W202-03,瑞舒伐他汀片,Rosuvastatin,WESTERN,TABLET,20mg,片,20,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W202-04,瑞舒伐他汀胶囊,Rosuvastatin,WESTERN,CAPSULE,5mg,粒,5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W202-05,瑞舒伐他汀胶囊,Rosuvastatin,WESTERN,CAPSULE,10mg,粒,10,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W202-06,瑞舒伐他汀胶囊,Rosuvastatin,WESTERN,CAPSULE,20mg,粒,20,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W203-01,非诺贝特片,Fenofibrate,WESTERN,TABLET,0.1g,片,0.1,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W203-02,非诺贝特分散片,Fenofibrate,WESTERN,TABLET,0.1g,片,0.1,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W203-03,非诺贝特胶囊,Fenofibrate,WESTERN,CAPSULE,0.1g,粒,0.1,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W203-04,非诺贝特胶囊,Fenofibrate,WESTERN,CAPSULE,0.2g,粒,0.2,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W204,依折麦布片,Ezetimibe,WESTERN,TABLET,10mg,片,10,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,QD,是,是,ACTIVE
MED-2026-W205-01,溴己新片,Bromhexine,WESTERN,TABLET,8mg,片,8,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W205-02,溴己新口服溶液剂,Bromhexine,WESTERN,ORAL_LIQUID,40ml ∶80mg,瓶,40,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W205-03,溴己新注射液,Bromhexine,WESTERN,INJECTION,2ml ∶4mg,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W206-01,氨溴索片,Ambroxol,WESTERN,TABLET,30mg,片,30,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W206-02,氨溴索分散片,Ambroxol,WESTERN,TABLET,30mg,片,30,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W206-03,氨溴索胶囊,Ambroxol,WESTERN,CAPSULE,30mg,粒,30,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W206-04,氨溴索口服溶液剂,Ambroxol,WESTERN,ORAL_LIQUID,0.3%,瓶,,,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W206-05,氨溴索口服溶液剂,Ambroxol,WESTERN,ORAL_LIQUID,0.6%,瓶,,,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W206-06,氨溴索吸入用溶液,Ambroxol,WESTERN,TABLET,2ml ∶15mg,片,2,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W206-07,氨溴索注射液,Ambroxol,WESTERN,INJECTION,2ml ∶15mg,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W207-01,桉柠蒎肠溶胶囊,"Eucalyptol, Limonene and Pinene",WESTERN,CAPSULE,0.12g,粒,0.12,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W207-02,桉柠蒎肠溶胶囊,"Eucalyptol, Limonene and Pinene",WESTERN,CAPSULE,0.3g,粒,0.3,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W208-01,羧甲司坦片,Carbocysteine,WESTERN,TABLET,0.1g,片,0.1,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W208-02,羧甲司坦片,Carbocysteine,WESTERN,TABLET,0.25g,片,0.25,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W208-03,羧甲司坦口服溶液剂,Carbocysteine,WESTERN,ORAL_LIQUID,10ml ∶0.2g,瓶,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W208-04,羧甲司坦口服溶液剂,Carbocysteine,WESTERN,ORAL_LIQUID,10ml ∶0.5g,瓶,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W209-01,乙酰半胱氨酸颗粒,Acetylcysteine,WESTERN,GRANULE,0.1g,袋,0.1,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W209-02,乙酰半胱氨酸颗粒,Acetylcysteine,WESTERN,GRANULE,0.2g,袋,0.2,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W209-03,乙酰半胱氨酸泡腾片,Acetylcysteine,WESTERN,TABLET,0.6g,片,0.6,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W209-04,乙酰半胱氨酸吸入用溶液,Acetylcysteine,WESTERN,TABLET,3ml ∶0.3g,片,3,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W210-01,复方甘草片,Compound Liquorice,WESTERN,TABLET,常规说明书规格,片,,,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W210-02,复方甘草口服溶液剂,Compound Liquorice,WESTERN,ORAL_LIQUID,常规说明书规格,瓶,,,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W211,喷托维林片,Pentoxyverine,WESTERN,TABLET,25mg,片,25,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W212-01,可待因片,Codeine,WESTERN,TABLET,15mg,片,15,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W212-02,可待因片,Codeine,WESTERN,TABLET,30mg,片,30,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W213-01,右美沙芬片,Dextromethorphan,WESTERN,TABLET,15mg,片,15,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W213-02,右美沙芬颗粒,Dextromethorphan,WESTERN,GRANULE,15mg,袋,15,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W213-03,右美沙芬口服溶液剂,Dextromethorphan,WESTERN,ORAL_LIQUID,10ml ∶15mg,瓶,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W214-01,复方甲氧那明胶囊,Compound Methoxyphenamine Hydrochloride,WESTERN,CAPSULE,每粒 含盐酸甲氧那明12.5mg,粒,12.5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W214-02,复方甲氧那明胶囊,Compound Methoxyphenamine Hydrochloride,WESTERN,CAPSULE,那可丁 7mg,粒,7,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W214-03,复方甲氧那明胶囊,Compound Methoxyphenamine Hydrochloride,WESTERN,CAPSULE,氨茶碱 25mg,粒,25,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W214-04,复方甲氧那明胶囊,Compound Methoxyphenamine Hydrochloride,WESTERN,CAPSULE,马来酸氯苯那敏 2mg,粒,2,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W215-01,氨茶碱片,Aminophylline,WESTERN,TABLET,0.1g,片,0.1,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,PRN,否,是,ACTIVE
MED-2026-W215-02,氨茶碱片,Aminophylline,WESTERN,TABLET,0.2g,片,0.2,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,PRN,否,是,ACTIVE
MED-2026-W215-03,氨茶碱缓释片,Aminophylline,WESTERN,TABLET,0.1g,片,0.1,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,PRN,否,是,ACTIVE
MED-2026-W215-04,氨茶碱注射液,Aminophylline,WESTERN,INJECTION,2ml ∶0.25g,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,PRN,否,是,ACTIVE
MED-2026-W215-05,氨茶碱注射液,Aminophylline,WESTERN,INJECTION,2ml ∶0.5g,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,PRN,否,是,ACTIVE
MED-2026-W215-06,氨茶碱注射液,Aminophylline,WESTERN,INJECTION,10ml ∶0.25g,支,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,PRN,否,是,ACTIVE
MED-2026-W216,茶碱缓释片,Theophylline,WESTERN,TABLET,0.1g,片,0.1,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W217-01,沙丁胺醇吸入气雾剂,Salbutamol,WESTERN,AEROSOL,200 揿：每揿 100μg,支,100,μg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,INHALATION,BID,否,是,ACTIVE
MED-2026-W217-02,沙丁胺醇200 揿,Salbutamol,WESTERN,TABLET,每揿 140μg,片,140,μg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W217-03,沙丁胺醇吸入用溶液,Salbutamol,WESTERN,TABLET,2.5ml ∶5mg,片,2.5,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
