编码,名称,别名,药品类型,剂型,制剂规格,制剂单位,含量数值,含量单位,储藏方式,处方药,基本药物,抗菌药,抗菌药等级,抗菌药门诊可用,抗菌药需会诊审批,抗菌药允许紧急使用,抗菌药门诊疗程上限,需要皮试,皮试方式,皮试液配置方式,皮试观察分钟,皮试结果有效小时,皮试配置说明,默认剂量,默认剂量单位,默认给药途径,默认频次,慢病用药,允许单开,状态
MED-2026-T191-04,尪痹颗粒（胶囊、片）,WBKLJNP,CHINESE_PATENT,TABLET,每片重 0.25g,片,0.25,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T191-05,尪痹颗粒（胶囊、片）,WBKLJNP,CHINESE_PATENT,TABLET,每片重 0.5g,片,0.5,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T192-01,风湿液酒剂,FSY,CHINESE_PATENT,TABLET,每瓶装 10ml,片,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T192-02,风湿液酒剂,FSY,CHINESE_PATENT,TABLET,每瓶装 100ml,片,100,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T192-03,风湿液酒剂,FSY,CHINESE_PATENT,TABLET,每瓶装 250ml,片,250,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T193-01,普乐安胶囊（片）,PLAJNP,CHINESE_PATENT,CAPSULE,每粒装 0.375g,粒,0.375,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T193-02,普乐安胶囊（片）,PLAJNP,CHINESE_PATENT,TABLET,每片重 0.57g（含油菜花粉 0.5g）,片,0.57,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T193-03,普乐安胶囊（片）,PLAJNP,CHINESE_PATENT,TABLET,每片重 0.64g（含油菜花粉 0.5g）,片,0.64,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T194,克痢痧胶囊,KLSJN,CHINESE_PATENT,CAPSULE,每粒装 0.28g,粒,0.28,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T195,血脂康胶囊,XZKJN,CHINESE_PATENT,CAPSULE,每粒装 0.3g,粒,0.3,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T196-01,荷丹片（胶囊）,HDPJN,CHINESE_PATENT,TABLET,每片重 0.73g（相当于饮片 14.125g）,片,0.73,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T196-02,荷丹片（胶囊）,HDPJN,CHINESE_PATENT,CAPSULE,每粒装 0.33g（相当于饮片 7.06g）,粒,0.33,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
