编码,名称,别名,药品类型,剂型,制剂规格,制剂单位,含量数值,含量单位,储藏方式,处方药,基本药物,抗菌药,抗菌药等级,需要皮试,默认剂量,默认剂量单位,默认给药途径,默认频次,慢病用药,允许单开,状态
MED-2026-W185,氨氯地平片剂,Amlodipine,WESTERN,TABLET,（苯磺酸盐、马来酸盐）片剂： 5mg,片,5,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,QD,是,是,ACTIVE
MED-2026-W186-01,左氨氯地平（片剂）,Levamlodipine,WESTERN,TABLET,（苯磺酸盐）片剂：2.5mg 、5mg,片,2.5,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,QD,是,是,ACTIVE
MED-2026-W186-02,左氨氯地平（片剂）,Levamlodipine,WESTERN,TABLET,（马来酸盐）片剂：2.5mg,片,2.5,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,QD,是,是,ACTIVE
MED-2026-W187,比索洛尔片剂,Bisoprolol,WESTERN,TABLET,2.5mg 、5mg,片,2.5,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,QD,是,是,ACTIVE
MED-2026-W188,拉贝洛尔片剂,Labetalol,WESTERN,TABLET,50mg 、100mg,片,50,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,QD,是,是,ACTIVE
MED-2026-W189-01,乌拉地尔（片剂）,Urapidil,WESTERN,TABLET,缓释（片剂、胶囊）：30mg,片,30,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,QD,是,是,ACTIVE
MED-2026-W189-02,乌拉地尔（注射液）,Urapidil,WESTERN,INJECTION,5ml ∶25mg 、10ml ∶50mg,支,5,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,QD,是,是,ACTIVE
MED-2026-W190-01,吲达帕胺（片剂）,Indapamide,WESTERN,TABLET,2.5mg,片,2.5,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,QD,是,是,ACTIVE
MED-2026-W190-02,吲达帕胺（缓释片）,Indapamide,WESTERN,TABLET,1.5mg,片,1.5,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,QD,是,是,ACTIVE
MED-2026-W191-01,酚妥拉明（注射液）,Phentolamine,WESTERN,INJECTION,1ml ∶10mg,支,1,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,QD,是,是,ACTIVE
MED-2026-W191-02,酚妥拉明（注射用无菌粉末）,Phentolamine,WESTERN,INJECTION,10mg,支,10,mg,ROOM_TEMPERATURE,是,是,否,,否,,,IVGTT,QD,是,是,ACTIVE
MED-2026-W192,哌唑嗪片剂,Prazosin,WESTERN,TABLET,1mg 、2mg,片,1,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,QD,是,是,ACTIVE
MED-2026-W193-01,波生坦（片剂）,Bosentan,WESTERN,TABLET,125mg,片,125,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,QD,是,是,ACTIVE
MED-2026-W193-02,波生坦（分散片）,Bosentan,WESTERN,TABLET,32mg,片,32,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,QD,是,是,ACTIVE
MED-2026-W194,肾上腺素注射液,Epinephrine,WESTERN,INJECTION,1ml ∶1mg,支,1,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,QD,是,是,ACTIVE
MED-2026-W195,去甲肾上腺素注射液,Norepinephrine,WESTERN,INJECTION,1ml ∶2mg 、2ml ∶10mg、 4ml ∶8mg,支,1,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,QD,是,是,ACTIVE
MED-2026-W196,异丙肾上腺素注射液,Isoprenaline,WESTERN,INJECTION,2ml ∶1mg,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,QD,是,是,ACTIVE
MED-2026-W197,间羟胺注射液,Metaraminol,WESTERN,INJECTION,1ml ∶10mg 、5ml ∶50mg,支,1,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,QD,是,是,ACTIVE
MED-2026-W198,多巴胺注射液,Dopamine,WESTERN,INJECTION,2ml ∶20mg 、2.5ml ∶50mg、 5ml ∶100mg 、5ml ∶200mg,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,QD,是,是,ACTIVE
MED-2026-W199,多巴酚丁胺注射液,Dobutamine,WESTERN,INJECTION,2ml ∶20mg 、5ml ∶100mg,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,QD,是,是,ACTIVE
MED-2026-W200,辛伐他汀片剂,Simvastatin,WESTERN,TABLET,10mg 、20mg,片,10,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,QD,是,是,ACTIVE
MED-2026-W201,阿托伐他汀片剂,Atorvastatin,WESTERN,TABLET,10mg 、20mg,片,10,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,QD,是,是,ACTIVE
MED-2026-W202,瑞舒伐他汀片剂,Rosuvastatin,WESTERN,TABLET,片剂、胶囊：5mg 、10mg 、20mg,片,5,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,QD,是,是,ACTIVE
MED-2026-W203-01,非诺贝特（片剂）,Fenofibrate,WESTERN,TABLET,片剂、分散片：0. 1g,片,1,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,QD,是,是,ACTIVE
MED-2026-W203-02,非诺贝特（胶囊）,Fenofibrate,WESTERN,CAPSULE,0. 1g 、0.2g,粒,1,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,QD,是,是,ACTIVE
MED-2026-W204,依折麦布片剂,Ezetimibe,WESTERN,TABLET,10mg,片,10,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,QD,是,是,ACTIVE
MED-2026-W205-01,溴己新（片剂）,Bromhexine,WESTERN,TABLET,8mg,片,8,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W205-02,溴己新（口服溶液剂）,Bromhexine,WESTERN,ORAL_LIQUID,40ml ∶80mg,瓶,40,ml,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W205-03,溴己新（注射液）,Bromhexine,WESTERN,INJECTION,2ml ∶4mg,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W206-01,氨溴索（片剂）,Ambroxol,WESTERN,TABLET,片剂、分散片、胶囊：30mg,片,30,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W206-02,氨溴索（口服溶液剂）,Ambroxol,WESTERN,ORAL_LIQUID,0.3% 、0.6%,瓶,,,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W206-03,氨溴索（吸入用溶液）,Ambroxol,WESTERN,AEROSOL,2ml ∶15mg,瓶,2,ml,ROOM_TEMPERATURE,是,是,否,,否,,,NEB,BID,否,是,ACTIVE
MED-2026-W206-04,氨溴索（注射液）,Ambroxol,WESTERN,INJECTION,2ml ∶15mg,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W207,桉柠蒎肠溶胶囊,"Eucalyptol, Limonene and Pinene",WESTERN,CAPSULE,0. 12g 、0.3g,粒,12,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W208-01,羧甲司坦（片剂）,Carbocysteine,WESTERN,TABLET,0. 1g 、0.25g,片,1,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W208-02,羧甲司坦（口服溶液剂）,Carbocysteine,WESTERN,ORAL_LIQUID,10ml ∶0.2g、10ml ∶0.5g,瓶,10,ml,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W209-01,乙酰半胱氨酸（颗粒剂）,Acetylcysteine,WESTERN,GRANULE,0. 1g 、0.2g,袋,1,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W209-02,乙酰半胱氨酸（泡腾片）,Acetylcysteine,WESTERN,TABLET,0.6g,片,0.6,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W209-03,乙酰半胱氨酸（吸入用溶液）,Acetylcysteine,WESTERN,AEROSOL,3ml ∶0.3g,瓶,3,ml,ROOM_TEMPERATURE,是,是,否,,否,,,NEB,BID,否,是,ACTIVE
MED-2026-W210,复方甘草片剂,Compound Liquorice,WESTERN,TABLET,片剂、口服溶液剂,片,,,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W211,喷托维林片剂,Pentoxyverine,WESTERN,TABLET,25mg,片,25,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W212,可待因片剂,Codeine,WESTERN,TABLET,15mg 、30mg,片,15,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W213-01,右美沙芬（片剂）,Dextromethorphan,WESTERN,TABLET,15mg,片,15,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W213-02,右美沙芬（颗粒剂）,Dextromethorphan,WESTERN,GRANULE,15mg,袋,15,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W213-03,右美沙芬（口服溶液剂）,Dextromethorphan,WESTERN,ORAL_LIQUID,10ml ∶15mg,瓶,10,ml,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W214,复方甲氧那明胶囊,"Compound
Methoxyphenamine Hydrochloride",WESTERN,CAPSULE,每粒含盐酸甲氧那明12.5mg、那可丁 7mg、氨茶碱 25mg、马来酸氯苯那敏 2mg,粒,12.5,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W215-01,氨茶碱（片剂）,Aminophylline,WESTERN,TABLET,0. 1g 、0.2g,片,1,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,PRN,否,是,ACTIVE
MED-2026-W215-02,氨茶碱（缓释片）,Aminophylline,WESTERN,TABLET,0. 1g,片,1,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,PRN,否,是,ACTIVE
MED-2026-W215-03,氨茶碱（注射液）,Aminophylline,WESTERN,INJECTION,2ml ∶0.25g 、2ml ∶0.5g、 10ml ∶0.25g,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,PRN,否,是,ACTIVE
MED-2026-W216,茶碱缓释片,Theophylline,WESTERN,TABLET,0. 1g,片,1,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W217-01,沙丁胺醇（吸入气雾剂）,Salbutamol,WESTERN,AEROSOL,200 揿：每揿 100μg、,瓶,100,μg,ROOM_TEMPERATURE,是,是,否,,否,,,INHALATION,BID,否,是,ACTIVE
MED-2026-W217-02,沙丁胺醇（200 揿）,Salbutamol,WESTERN,OTHER,每揿 140μg,盒,140,μg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W217-03,沙丁胺醇（吸入用溶液）,Salbutamol,WESTERN,AEROSOL,2.5ml ∶5mg,瓶,2.5,ml,ROOM_TEMPERATURE,是,是,否,,否,,,NEB,BID,否,是,ACTIVE
MED-2026-W218-01,异丙托溴铵（气雾剂）,Ipratropium Bromide,WESTERN,AEROSOL,14g∶8.4mg,瓶,14,g,ROOM_TEMPERATURE,是,是,否,,否,,,INHALATION,BID,否,是,ACTIVE
MED-2026-W218-02,异丙托溴铵（吸入用溶液）,Ipratropium Bromide,WESTERN,AEROSOL,2ml ∶0.5mg,瓶,2,ml,ROOM_TEMPERATURE,是,是,否,,否,,,NEB,BID,否,是,ACTIVE
MED-2026-W219,噻托溴铵吸入粉雾剂,Tiotropium Bromide,WESTERN,POWDER,18μg,袋,18,μg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W220-01,孟鲁司特（片剂）,Montelukast,WESTERN,TABLET,10mg,片,10,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W220-02,孟鲁司特（咀嚼片）,Montelukast,WESTERN,TABLET,4mg 、5mg,片,4,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W220-03,孟鲁司特（颗粒剂）,Montelukast,WESTERN,GRANULE,4mg,袋,4,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W220-04,孟鲁司特（口溶膜）,Montelukast,WESTERN,OTHER,4mg 、5mg,盒,4,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W221-01,丙酸氟替卡松（吸入气雾剂）,Fluticasone Propionate,WESTERN,AEROSOL,50μg/ 揿、 125μg/ 揿,瓶,50,μg,ROOM_TEMPERATURE,是,是,否,,否,,,INHALATION,BID,否,是,ACTIVE
MED-2026-W221-02,丙酸氟替卡松（雾化吸入用混悬液）,Fluticasone Propionate,WESTERN,ORAL_LIQUID,2ml ∶0.5mg,瓶,2,ml,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W222-01,布地奈德（吸入气雾剂）,Budesonide,WESTERN,AEROSOL,每瓶 100 揿，每揿含布地奈德 200μg；每瓶 200 揿，每揿含布地奈德 100μg,瓶,200,μg,ROOM_TEMPERATURE,是,是,否,,否,,,INHALATION,BID,否,是,ACTIVE
MED-2026-W222-02,布地奈德（吸入粉雾剂）,Budesonide,WESTERN,POWDER,0. 1mg/ 吸；0.2mg； 200μg/ 吸，200 吸/ 支,袋,1,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W222-03,布地奈德（雾化吸入用混悬液）,Budesonide,WESTERN,ORAL_LIQUID,2ml ∶1mg,瓶,2,ml,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W223,布地奈德福莫特罗吸入粉雾剂,"Budesonide and
Formoterol",WESTERN,POWDER,80μg/4.5μg/吸、 160μg/4.5μg/ 吸、320μg/9μg/ 吸,袋,80,μg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W224,茚达特罗格隆溴铵吸入粉雾剂,"Indacaterol and
Glycopyrronium",WESTERN,POWDER,110μg/50μg/ 粒,袋,110,μg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W225,布地格福吸入气雾剂,"Budesonide, Glycopyrronium and Formoterol",WESTERN,AEROSOL,每瓶 120 揿，每揿含布地奈德 160μg、格隆铵 7.2μg 和富马酸福莫特罗 4.8μg,瓶,160,μg,ROOM_TEMPERATURE,是,是,否,,否,,,INHALATION,BID,否,是,ACTIVE
MED-2026-W226-01,汉防己甲素（片剂）,Tetrandrine,WESTERN,TABLET,20mg,片,20,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W226-02,汉防己甲素（注射液）,Tetrandrine,WESTERN,INJECTION,2ml ∶30mg,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W227,尼达尼布软胶囊,Nintedanib,WESTERN,CAPSULE,100mg 、150mg,粒,100,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W228,复方氢氧化铝片剂,Compound Aluminium Hydroxide,WESTERN,TABLET,片剂,片,,,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W229-01,雷尼替丁（片剂）,Ranitidine,WESTERN,TABLET,片剂、胶囊：0. 15g,片,15,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W229-02,雷尼替丁（注射液）,Ranitidine,WESTERN,INJECTION,2ml ∶50mg,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W230-01,法莫替丁（片剂）,Famotidine,WESTERN,TABLET,片剂、胶囊：20mg,片,20,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W230-02,法莫替丁（注射液）,Famotidine,WESTERN,INJECTION,2ml ∶20mg,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W230-03,法莫替丁（注射用无菌粉末）,Famotidine,WESTERN,INJECTION,20mg,支,20,mg,ROOM_TEMPERATURE,是,是,否,,否,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W231-01,奥美拉唑（片剂）,Omeprazole,WESTERN,TABLET,肠溶（片剂、胶囊）：10mg、20mg,片,10,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W231-02,奥美拉唑（注射用无菌粉末）,Omeprazole,WESTERN,INJECTION,40mg,支,40,mg,ROOM_TEMPERATURE,是,是,否,,否,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W232-01,艾司奥美拉唑（片剂）,Esomeprazole,WESTERN,TABLET,肠溶（片剂、胶囊）：20mg,片,20,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W232-02,艾司奥美拉唑（肠溶干混悬剂）,Esomeprazole,WESTERN,ORAL_LIQUID,10mg 、20mg、 40mg,瓶,10,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W232-03,艾司奥美拉唑（注射用无菌粉末）,Esomeprazole,WESTERN,INJECTION,40mg,支,40,mg,ROOM_TEMPERATURE,是,是,否,,否,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W233,雷贝拉唑肠溶片,Rabeprazole,WESTERN,TABLET,10mg 、20mg,片,10,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W234-01,枸橼酸铋钾（片剂）,Bismuth Potassium Citrate,WESTERN,TABLET,片剂、胶囊：0.3g（含 0. 11g 铋）,片,0.3,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W234-02,枸橼酸铋钾（颗粒剂）,Bismuth Potassium Citrate,WESTERN,GRANULE,每袋含 0.11g 铋,袋,0.11,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W235-01,胶体果胶铋（胶囊）,Colloidal Bismuth Pectin,WESTERN,CAPSULE,50mg 、100mg（以铋计）,粒,50,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W235-02,胶体果胶铋（颗粒剂）,Colloidal Bismuth Pectin,WESTERN,GRANULE,150mg（以铋计）,袋,150,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W236,铝碳酸镁咀嚼片,Hydrotalcite,WESTERN,TABLET,0.5g,片,0.5,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W237,乳酶生片剂,Lactasin,WESTERN,TABLET,0. 15g 、0.3g,片,15,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W238-01,胰酶（肠溶片）,Pancreatin,WESTERN,TABLET,300mg,片,300,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W238-02,胰酶（肠溶胶囊）,Pancreatin,WESTERN,CAPSULE,150mg,粒,150,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W239-01,山莨菪碱（片剂）,Anisodamine,WESTERN,TABLET,片剂（含消旋）：5mg 、10mg,片,5,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W239-02,山莨菪碱（注射液）,Anisodamine,WESTERN,INJECTION,注射液（含消旋）： 1ml ∶2mg、 1ml ∶10mg,支,1,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W240-01,阿托品（片剂）,Atropine,WESTERN,TABLET,0.3mg,片,0.3,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W240-02,阿托品（注射液）,Atropine,WESTERN,INJECTION,1ml ∶0.5mg 、1ml ∶1mg、 1ml ∶5mg 、2ml ∶1mg,支,1,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W241,多潘立酮片剂,Domperidone,WESTERN,TABLET,10mg,片,10,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W242-01,甲氧氯普胺（片剂）,Metoclopramide,WESTERN,TABLET,5mg,片,5,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W242-02,甲氧氯普胺（注射液）,Metoclopramide,WESTERN,INJECTION,1ml ∶10mg 、2ml ∶10mg,支,1,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W243,莫沙必利片剂,Mosapride,WESTERN,TABLET,5mg,片,5,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W244,匹维溴铵片剂,Pinaverium Bromide,WESTERN,TABLET,50mg,片,50,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W245-01,昂丹司琼（片剂）,Ondansetron,WESTERN,TABLET,4mg 、8mg,片,4,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W245-02,昂丹司琼（注射液）,Ondansetron,WESTERN,INJECTION,2ml ∶4mg 、4ml ∶8mg,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W246,开塞露灌肠剂（含甘油、山梨醇）,Enema,WESTERN,OTHER,灌肠剂（含甘油、山梨醇）,盒,,,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W247,乳果糖口服溶液剂,Lactulose,WESTERN,ORAL_LIQUID,15ml ∶10g、 100ml ∶66.7g 、200ml ∶133.4g,瓶,15,ml,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W248,洛哌丁胺胶囊,Loperamide,WESTERN,CAPSULE,2mg,粒,2,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W249,蒙脱石散剂,Montmorillonite,WESTERN,POWDER,3g,袋,3,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W250,聚乙二醇散剂,Macrogol,WESTERN,POWDER,散剂,袋,,,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W251,精氨酸注射液,Arginine,WESTERN,INJECTION,20ml ∶5g,支,20,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W252-01,联苯双酯（片剂）,Bifendate,WESTERN,TABLET,25mg,片,25,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W252-02,联苯双酯（滴丸剂）,Bifendate,WESTERN,DROPS,1.5mg,瓶,1.5,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W253,甘草酸二铵胶囊,"Diammonium
Glycyrrhizinate",WESTERN,CAPSULE,50mg,粒,50,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W254-01,水飞蓟素（片剂）,Silymarin,WESTERN,TABLET,70mg,片,70,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W254-02,水飞蓟素（胶囊）,Silymarin,WESTERN,CAPSULE,140mg,粒,140,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W255-01,多烯磷脂酰胆碱（胶囊）,"Polyene
Phosphatidylcholine",WESTERN,CAPSULE,228mg,粒,228,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W255-02,多烯磷脂酰胆碱（注射液）,"Polyene
Phosphatidylcholine",WESTERN,INJECTION,5ml ∶232.5mg,支,5,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W256-01,地衣芽孢杆菌活菌（胶囊）,"Bacillus Licheniformis, Live",WESTERN,CAPSULE,0.25g,粒,0.25,g,REFRIGERATED,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W256-02,地衣芽孢杆菌活菌（颗粒剂）,"Bacillus Licheniformis, Live",WESTERN,GRANULE,0.5g,袋,0.5,g,REFRIGERATED,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W257,枯草杆菌二联活菌肠溶胶囊,Live Combined Bacillus Subtilis and Enterociccus Faecium,WESTERN,CAPSULE,250mg,粒,250,mg,REFRIGERATED,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W258,双歧杆菌三联活菌胶囊,Bifid Triple Viable,WESTERN,CAPSULE,胶囊、肠溶胶囊：0.21g,粒,0.21,g,REFRIGERATED,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W259,双歧杆菌四联活菌片剂,"Combined Bifidobacterium, Lactobacillus, Enterococcus and Bacillus Cereus, Live",WESTERN,TABLET,0.5g,片,0.5,g,REFRIGERATED,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W260-01,熊去氧胆酸（片剂）,UrsodeoxycholicAcid,WESTERN,TABLET,50mg 、250mg,片,50,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W260-02,熊去氧胆酸（胶囊）,UrsodeoxycholicAcid,WESTERN,CAPSULE,250mg,粒,250,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W260-03,熊去氧胆酸（混悬液）,UrsodeoxycholicAcid,WESTERN,ORAL_LIQUID,250ml ∶12.5g,瓶,250,ml,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W261-01,柳氮磺吡啶（肠溶片）,Sulfasalazine,WESTERN,TABLET,0.25g,片,0.25,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W261-02,柳氮磺吡啶（栓剂）,Sulfasalazine,WESTERN,SUPPOSITORY,0.5g,枚,0.5,g,ROOM_TEMPERATURE,是,是,否,,否,,,RECTAL,BID,否,是,ACTIVE
MED-2026-W262-01,呋塞米（片剂）,Furosemide,WESTERN,TABLET,20mg,片,20,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
