编码,名称,别名,药品类型,剂型,制剂规格,制剂单位,含量数值,含量单位,储藏方式,处方药,基本药物,抗菌药,抗菌药等级,需要皮试,默认剂量,默认剂量单位,默认给药途径,默认频次,慢病用药,允许单开,状态
MED-2026-T284-03,活血止痛散（胶囊、软胶囊）,HXZTSJNRJN,CHINESE_PATENT,CAPSULE,每粒装 0.65g（相当于饮片 0.5g）,粒,0.65,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T285-01,七厘散（胶囊）（散剂）,QLSJN,CHINESE_PATENT,POWDER,每瓶装 1.5g 、3g,袋,1.5,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T285-02,七厘散（胶囊）,QLSJN,CHINESE_PATENT,CAPSULE,每粒装 0.5g,粒,0.5,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T286,消痛贴膏贴膏剂,XTTG,CHINESE_PATENT,PATCH,每贴装 1.0g、1.2g,贴,1.0,g,ROOM_TEMPERATURE,是,是,否,,否,,,TRANSDERMAL,TID,否,是,ACTIVE
MED-2026-T287-01,独一味胶囊（片）,DYWJNP,CHINESE_PATENT,CAPSULE,每粒装 0.3g（相当于饮片 1.0g）,粒,0.3,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T287-02,独一味胶囊（片）（片剂）,DYWJNP,CHINESE_PATENT,TABLET,每片重 0.26g、0.28g,片,0.26,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T288,盘龙七片片剂,PLQP,CHINESE_PATENT,TABLET,每片重 0.3g,片,0.3,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T289,复方伤痛胶囊,FFSTJN,CHINESE_PATENT,CAPSULE,每粒装 0.3g,粒,0.3,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T290,颈舒颗粒颗粒剂,JSKL,CHINESE_PATENT,GRANULE,每袋装 6g,袋,6,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T291,颈复康颗粒颗粒剂,JFKKL,CHINESE_PATENT,GRANULE,每袋装 5g,袋,5,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T292,腰痹通胶囊,YBTJN,CHINESE_PATENT,CAPSULE,每粒装 0.42g,粒,0.42,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T293-01,滑膜炎颗粒（片）（颗粒剂）,HMYKLP,CHINESE_PATENT,GRANULE,每 1g 相当于饮片3g,袋,1,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T293-02,滑膜炎颗粒（片）（片剂）,HMYKLP,CHINESE_PATENT,TABLET,每片重 0.5g 、0.6g,片,0.5,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T294-01,舒筋活血丸（片）（丸剂）,SJHXWP,CHINESE_PATENT,OTHER,每丸重 6g,丸,6,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T294-02,舒筋活血丸（片）（片剂）,SJHXWP,CHINESE_PATENT,TABLET,每片重 0.3g,片,0.3,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
