标准品种ID,旧目录编码,名称,英文名称,药品类型,条目类型,原文规格,专科指导,来源位置,来源版本,审核状态
GEN-60321718AA200C37B1924F13,MED-2026-T169,强力定眩片(胶囊),,CHINESE_PATENT,MEDICATION,"片剂：每片重 0.35g（相当于饮片 2.39g）
胶囊：每粒装 0.4g",False,table:117/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-4D9B58BDB058BDE312C1AE8D,MED-2026-T170,正天丸(胶囊),,CHINESE_PATENT,MEDICATION,"丸剂：每袋装 6g
胶囊：每粒装 0.45g",False,table:117/row:6,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-1BC4263584F6165C489BDC5D,MED-2026-T171,养血清脑丸(颗粒),,CHINESE_PATENT,MEDICATION,"丸剂：每袋装 2.5g
颗粒剂：每袋装 4g",False,table:117/row:7,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-B55AA02BDD5B888A8BD5D9B2,MED-2026-T172,消银颗粒(片),,CHINESE_PATENT,MEDICATION,"颗粒剂：3.5g/ 袋
片剂：每片重 0.3g 、0.32g",False,table:117/row:8,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-560F1E48A283DA5A6F1AF0DF,MED-2026-T173,润燥止痒胶囊,,CHINESE_PATENT,MEDICATION,胶囊：每粒装 0.5g,True,table:117/row:9,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-433E04A8B46A025517E7FDCB,MED-2026-T174,华佗再造丸,,CHINESE_PATENT,MEDICATION,丸剂,False,table:117/row:10,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-06EFEA7787EDA6C413F6C08C,MED-2026-T175,小活络丸,,CHINESE_PATENT,MEDICATION,丸剂：每丸重 3g，每 6 丸相当于原生药（原药材） 2.3g,False,table:117/row:11,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-D9B918854AA2EB8FFC90BBD3,MED-2026-T176,复方风湿宁胶囊(片),,CHINESE_PATENT,MEDICATION,"胶囊：每粒装 0.3g
片剂：每片重 0.2g、0.21g、 0.48g",False,table:117/row:12,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-F480DA95150C2C2E958205EA,MED-2026-T177,风湿骨痛胶囊(片),,CHINESE_PATENT,MEDICATION,"胶囊：每粒装 0.3g
片剂：每片重 0.36g、0.37g",False,table:118/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-4B997587F974E50F6E7981F1,MED-2026-T178,追风透骨丸,,CHINESE_PATENT,MEDICATION,丸剂：每 10 丸重 1g,False,table:118/row:4,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
